thread_id,policy,ALLOW,BLOCK,WARN_AND_ALLOW
1,A,1,2,0
1,B,1,2,0
1,C,1,2,0
2,A,3,1,0
2,B,3,1,0
2,C,3,0,1
3,A,6,0,0
3,B,6,0,0
3,C,6,0,0
4,A,10,2,0
4,B,11,0,1
4,C,12,0,0
5,A,3,0,0
5,B,3,0,0
5,C,3,0,0
6,A,5,0,0
6,B,5,0,0
6,C,5,0,0
7,A,0,2,0
7,B,0,0,2
7,C,2,0,0
8,A,2,0,1
8,B,2,0,1
8,C,3,0,0
9,A,3,2,1
9,B,3,2,1
9,C,4,0,2
10,A,8,0,0
10,B,8,0,0
10,C,8,0,0
11,A,16,3,0
11,B,16,1,2
11,C,18,1,0
12,A,1,2,0
12,B,1,2,0
12,C,1,1,1
13,A,4,0,0
13,B,4,0,0
13,C,4,0,0
14,A,10,3,0
14,B,10,0,3
14,C,13,0,0
15,A,0,2,0
15,B,0,1,1
15,C,1,0,1
16,A,2,1,0
16,B,2,1,0
16,C,2,1,0
17,A,2,1,0
17,B,2,1,0
17,C,2,0,1
18,A,14,4,3
18,B,15,1,5
18,C,20,1,0
19,A,2,0,0
19,B,2,0,0
19,C,2,0,0
20,A,3,1,0
20,B,3,1,0
20,C,3,0,1
